fecha_hora,ax,ay,az,gx,gy,gz
16204,-2.009765625,3.412109375,-6.880859375,52.97667313,-19.61819839,19.21033478
16226,-1.876953125,3.3046875,-6.5,51.6026268,-9.755602837,5.301937103
16247,-2.005859375,3.390625,-6.62890625,55.43468857,3.725313187,-11.49195671
16270,-2.236328125,3.537109375,-7.052734375,61.96903992,15.64897728,-31.43088913
16292,-2.333984375,3.611328125,-7.314453125,69.63315582,27.52684021,-46.59119415
16314,-2.6796875,3.033203125,-6.998046875,69.40415192,31.6642437,-53.4156189
16338,-2.4375,3.37890625,-6.658203125,57.61789703,45.25202942,-49.65989685
16362,-2.931640625,3.580078125,-6.498046875,53.25148392,52.71767807,-81.40035248
16385,-2.94140625,3.294921875,-6.66796875,54.80873489,42.91615295,-112.5759201
16406,-2.2265625,2.876953125,-6.685546875,46.1675148,29.98485565,-127.9957733
16431,-2.158203125,2.4921875,-7.302734375,19.70949745,7.221496105,-112.7133255
16454,-2.119140625,2.42578125,-7.439453125,-5.98515892,-15.60293198,-91.75149536
16476,-1.9921875,2.23828125,-7.08984375,-25.89355469,-27.17544937,-89.90416718
16499,-2.1953125,1.9296875,-7.12109375,-43.3286705,-39.16018295,-98.40798187
16522,-1.9453125,1.58984375,-6.578125,-56.9775238,-53.70980072,-107.5530243
16544,-1.583984375,1.1953125,-6.16015625,-62.64164352,-59.6945343,-106.8507309
16565,-1.4453125,1.1171875,-6.2421875,-58.41263962,-63.67926788,-100.3011093
16590,-1.134765625,1.259765625,-6.181640625,-54.19889832,-65.49606323,-94.80493164
16611,-1.056640625,1.3828125,-5.984375,-56.68744659,-64.45789337,-86.07210541
16636,-1.1015625,1.62890625,-5.970703125,-59.26760101,-61.03804398,-80.92707062
16657,-1.107421875,1.74609375,-6.392578125,-51.37446976,-59.25178528,-93.47668457
16774,-0.720703125,2.005859375,-6.189453125,-75.20653534,-57.43499374,-26.49958992
16797,-0.71875,1.98828125,-6.0546875,-81.23706818,-48.45789337,-18.82019997
16818,-0.87890625,1.9296875,-5.796875,-93.26760101,-39.17544937,-9.568292618
16840,-0.9296875,1.900390625,-5.263671875,-103.0538635,-30.56476402,5.347738266
16861,-0.9609375,2.142578125,-5.298828125,-100.7790527,-17.9082756,12.53857803
16881,-1.087890625,2.30078125,-5.447265625,-92.77905273,-10.06094646,14.76758575
16901,-1.0625,2.6171875,-5.384765625,-90.77905273,-2.625831842,20.52330971
16922,-1.078125,2.955078125,-5.6015625,-91.1149292,8.961954117,30.41644096
16947,-1.4609375,3.431640625,-6.20703125,-82.64164734,18.53447342,39.71414948
16969,-1.61328125,3.8515625,-7.189453125,-65.48134613,14.24439716,36.43170929
16992,-0.763671875,3.748046875,-7.072265625,-57.31340027,13.54210663,37.9431572
17013,-0.3515625,3.55859375,-6.640625,-64.67218781,25.6642437,76.34011078
17034,-0.65625,4.064453125,-5.994140625,-73.8172226,36.29019928,108.0653
17055,-0.73046875,4.294921875,-5.296875,-75.78668976,41.51157379,103.0271301
17078,-0.34765625,2.9296875,-4.19140625,-58.55004501,35.16042709,69.80575562
