entrenamiento_id,dispositivo_id,fecha_hora,ax,ay,az,mx,my,mz,gx,gy,gz
3,3,40525,-0.99951171875,0.04931640625,-0.00537109375,0.0,0.0,0.0,0.172690987586975,-0.0808588266372681,0.110422372817993
3,4,40530,-1.01513671875,-0.06982421875,-0.00634765625,0.0,0.0,0.0,-0.0786867141723633,-0.0440928936004639,-0.036101795732975
3,1,40540,-0.9892578125,-0.09716796875,0.08984375,0.0,0.0,0.0,-0.00822544097900391,-0.0129617750644684,0.0109841823577881
3,2,40543,-0.303466796875,-0.12890625,0.876708984375,0.0,0.0,0.0,-40.8836669921875,43.8977508544922,28.1877136230469
3,3,40548,-0.9951171875,0.052734375,0.001953125,0.0,0.0,0.0,0.157423853874207,-0.172461926937103,0.0951551795005798
3,4,40554,-1.009765625,-0.0732421875,0.0,0.0,0.0,0.0,-0.231358528137207,0.00170862674713135,0.1623714864254
3,1,40563,-0.9951171875,-0.09619140625,0.09033203125,0.0,0.0,0.0,0.0223088264465332,0.231313049793243,0.133121609687805
3,2,40565,-0.279541015625,-0.1298828125,0.911865234375,0.0,0.0,0.0,-44.6088600158691,43.3939361572266,28.3251190185547
3,3,40570,-0.99853515625,0.0537109375,-0.00048828125,0.0,0.0,0.0,0.111622333526611,-0.248797833919525,0.0035521388053894
3,4,40575,-1.00927734375,-0.06884765625,-0.00537109375,0.0,0.0,0.0,-0.0176181793212891,-0.181497573852539,0.223440185189247
3,1,40585,-0.98974609375,-0.099609375,0.08984375,0.0,0.0,0.0,0.0223088264465332,-0.0129617750644684,-0.0653517246246338
3,2,40586,-0.20654296875,-0.128173828125,0.923095703125,0.0,0.0,0.0,-48.5019912719727,42.6153106689453,23.9281711578369
3,3,40593,-1.001953125,0.05517578125,-0.01025390625,0.0,0.0,0.0,0.264294028282166,-0.126660346984863,0.156223893165588
3,4,40599,-1.01318359375,-0.0693359375,-0.00341796875,0.0,0.0,0.0,-0.0634193420410156,-0.150963187217712,0.177638664841652
3,1,40608,-0.98828125,-0.09912109375,0.08154296875,0.0,0.0,0.0,0.0833775997161865,-0.104564815759659,0.08732008934021
3,2,40610,-0.17236328125,-0.1611328125,0.9287109375,0.0,0.0,0.0,-52.1203117370605,42.7832489013672,23.1037445068359
3,3,40614,-0.99462890625,0.05224609375,-0.005859375,0.0,0.0,0.0,0.310095548629761,-0.15719473361969,0.202025413513184
3,4,40619,-1.0107421875,-0.0703125,-0.00048828125,0.0,0.0,0.0,-0.0634193420410156,-0.0746272802352905,0.0402340814471245
3,1,40628,-0.98974609375,-0.0986328125,0.0830078125,0.0,0.0,0.0,0.0986447334289551,-0.196167886257172,0.148388743400574
3,2,40630,-0.19287109375,-0.136962890625,0.937255859375,0.0,0.0,0.0,-56.6699295043945,43.0275230407715,23.4090881347656
3,3,40635,-0.99755859375,0.04931640625,-0.0048828125,0.0,0.0,0.0,0.0810879468917847,-0.233530640602112,0.110422372817993
3,4,40641,-1.0126953125,-0.0693359375,-0.00537109375,0.0,0.0,0.0,0.0434508323669434,0.123845934867859,0.238707363605499
3,1,40651,-0.9853515625,-0.091796875,0.0966796875,0.0,0.0,0.0,0.0528432130813599,-0.0587632954120636,-0.00428295135498047
3,2,40653,-0.2294921875,-0.13037109375,0.953857421875,0.0,0.0,0.0,-64.0439758300781,43.3023338317871,18.8900032043457
3,3,40657,-0.99755859375,0.05078125,-0.001953125,0.0,0.0,0.0,0.0810879468917847,-0.0197901725769043,0.0188193023204803
3,4,40662,-1.0087890625,-0.07177734375,0.0078125,0.0,0.0,0.0,-0.185556888580322,0.0169757604598999,0.25397452712059
3,1,40754,-0.9931640625,-0.09716796875,0.08935546875,0.0,0.0,0.0,-0.115095734596252,-0.0740304589271545,0.133121609687805
3,2,40757,-0.175537109375,-0.21728515625,1.17919921875,0.0,0.0,0.0,-118.51725769043,34.1572952270508,5.45488929748535
3,3,40762,-1.0,0.0546875,0.0009765625,0.0,0.0,0.0,0.0963550806045532,-0.15719473361969,0.0798879861831665
3,4,40767,-1.01318359375,-0.068359375,-0.01318359375,0.0,0.0,0.0,0.0434508323669434,0.10857880115509,-0.036101795732975
3,1,40777,-0.990234375,-0.09814453125,0.0888671875,0.0,0.0,0.0,-0.191431641578674,-0.287770926952362,0.08732008934021
3,2,40779,-0.112548828125,-0.036865234375,1.28662109375,0.0,0.0,0.0,-134.425659179688,31.1649284362793,3.27168273925781
3,3,40784,-0.99365234375,0.05078125,-0.0078125,0.0,0.0,0.0,0.12688946723938,-0.0961260795593262,-0.164386808872223
3,4,40790,-1.01171875,-0.07421875,-0.009765625,0.0,0.0,0.0,0.0587177276611328,-0.0288257598876953,0.25397452712059
3,1,40800,-0.9931640625,-0.09765625,0.08642578125,0.0,0.0,0.0,0.0375760793685913,0.032839760184288,0.0109841823577881
3,2,40804,-0.10205078125,-0.090087890625,1.622314453125,0.0,0.0,0.0,-155.891311645508,22.9664554595947,0.141912460327148
3,3,40810,-1.0029296875,0.05517578125,-0.00537109375,0.0,0.0,0.0,0.21849250793457,-0.0655916929244995,0.0798879861831665
3,4,40816,-1.0068359375,-0.0712890625,0.00146484375,0.0,0.0,0.0,-0.0786867141723633,-0.0135586261749268,0.101302787661552
3,1,40826,-0.990234375,-0.1015625,0.08984375,0.0,0.0,0.0,0.205515027046204,-0.135099172592163,-0.0348173379898071
3,2,40828,-0.062744140625,0.37939453125,1.76513671875,0.0,0.0,0.0,-170.013442993164,29.1038589477539,-20.7741184234619
3,3,40832,-0.99755859375,0.05322265625,0.00341796875,0.0,0.0,0.0,0.233759760856628,-0.233530640602112,0.156223893165588
3,4,40837,-1.0068359375,-0.0693359375,-0.00537109375,0.0,0.0,0.0,-0.0328850746154785,0.0475101470947266,0.116569958627224
3,1,40847,-0.98583984375,-0.09814453125,0.09033203125,0.0,0.0,0.0,-0.115095734596252,-0.211435049772263,0.0415185689926147
3,2,40849,0.011962890625,0.35205078125,1.787109375,0.0,0.0,0.0,-178.303527832031,29.485538482666,-60.2703018188477
3,3,40856,-0.99658203125,0.05615234375,-0.0029296875,0.0,0.0,0.0,0.203225374221802,-0.309866487979889,0.110422372817993
3,4,40863,-1.00927734375,-0.0703125,-0.005859375,0.0,0.0,0.0,0.0587177276611328,0.215448975563049,0.25397452712059
3,1,40872,-0.99072265625,-0.09716796875,0.08935546875,0.0,0.0,0.0,0.0681103467941284,-0.0892976522445679,-0.0348173379898071
3,2,40874,-0.139892578125,0.14111328125,1.291259765625,0.0,0.0,0.0,-152.471466064453,30.6916465759277,-52.1328964233398
3,3,40878,-0.998046875,0.05224609375,-0.0029296875,0.0,0.0,0.0,0.111622333526611,0.0718128681182861,0.140956699848175
3,4,40884,-1.01025390625,-0.07177734375,-0.00390625,0.0,0.0,0.0,-0.1092209815979,0.0322428941726685,0.116569958627224
3,1,40894,-0.98583984375,-0.091796875,0.08837890625,0.0,0.0,0.0,-0.0845613479614258,-0.211435049772263,0.0567857027053833
3,2,40897,-0.443359375,-0.632080078125,0.736572265625,0.0,0.0,0.0,-158.456192016602,-0.835071563720703,-51.7054138183594
3,3,40901,-0.99853515625,0.0537109375,-0.00537109375,0.0,0.0,0.0,0.0658208131790161,-0.126660346984863,0.0798879861831665
3,4,40907,-1.0107421875,-0.07177734375,-0.005859375,0.0,0.0,0.0,-0.0786867141723633,0.184914708137512,-0.127704843878746
3,1,40921,-0.9931640625,-0.10107421875,0.080078125,0.0,0.0,0.0,-0.14563000202179,-0.150366336107254,-0.0195502042770386
3,2,40923,-0.0751953125,-1.409423828125,1.01318359375,0.0,0.0,0.0,-124.776794433594,12.019889831543,76.1113739013672
3,3,40927,-0.99755859375,0.05712890625,-0.00634765625,0.0,0.0,0.0,0.264294028282166,-0.141927599906921,0.0188193023204803
3,4,40932,-1.01025390625,-0.068359375,-0.00390625,0.0,0.0,0.0,0.0129165649414063,0.0780444145202637,-0.127704843878746
3,1,40944,-0.99560546875,-0.10009765625,0.0966796875,0.0,0.0,0.0,0.0375760793685913,0.00230541825294495,-0.00428295135498047
3,2,40946,-0.497314453125,-0.091796875,0.5986328125,0.0,0.0,0.0,-22.746265411377,79.0733261108398,140.248779296875
3,3,40950,-0.9990234375,0.0576171875,0.0048828125,0.0,0.0,0.0,0.0658208131790161,-0.279332160949707,0.156223893165588
3,4,40956,-1.01123046875,-0.072265625,0.00390625,0.0,0.0,0.0,-0.0786867141723633,0.10857880115509,-0.127704843878746
3,1,40965,-0.9931640625,-0.09716796875,0.08349609375,0.0,0.0,0.0,0.0223088264465332,-0.211435049772263,-0.00428295135498047
3,2,40967,-0.705078125,1.027587890625,0.090576171875,0.0,0.0,0.0,36.3071708679199,70.5847778320312,19.3480186462402
3,3,40972,-0.998046875,0.05517578125,-0.00048828125,0.0,0.0,0.0,0.203225374221802,-0.340400874614716,-0.149119645357132
3,4,40977,-1.00830078125,-0.0712890625,-0.0078125,0.0,0.0,0.0,0.0129165649414063,0.123845934867859,0.0707684382796288
3,1,40987,-0.9912109375,-0.09619140625,0.08349609375,0.0,0.0,0.0,-0.160897254943848,-0.0129617750644684,0.0262513160705566
3,2,40989,-0.371826171875,0.310791015625,-0.016357421875,0.0,0.0,0.0,40.4140396118164,36.7069129943848,-133.110000610352
3,3,40993,-0.99267578125,0.05078125,-0.0009765625,0.0,0.0,0.0,0.0658208131790161,0.0107442140579224,0.247826933860779
3,4,40999,-1.01025390625,-0.07177734375,-0.00537109375,0.0,0.0,0.0,0.165587902069092,0.10857880115509,0.192905828356743
3,1,41008,-0.9921875,-0.09423828125,0.0908203125,0.0,0.0,0.0,0.174980640411377,0.0786412805318832,0.133121609687805
3,2,41010,-0.18994140625,-0.381591796875,0.16845703125,0.0,0.0,0.0,86.6430511474609,32.6000442504883,-138.819931030273
3,3,41014,-0.99560546875,0.0537109375,-0.005859375,0.0,0.0,0.0,0.142156720161438,-0.15719473361969,-0.0422494113445282
3,4,41019,-1.01025390625,-0.07177734375,-0.0048828125,0.0,0.0,0.0,-0.139755249023438,0.139113187789917,-0.15823920071125
3,1,41028,-0.9921875,-0.09619140625,0.0810546875,0.0,0.0,0.0,0.174980640411377,-0.0434961020946503,-0.126420378684998
3,2,41030,-0.041015625,-0.592529296875,0.290283203125,0.0,0.0,0.0,124.444564819336,46.9511871337891,-79.3237380981445
3,3,41034,-0.99951171875,0.05322265625,-0.00341796875,0.0,0.0,0.0,0.416965842247009,-0.218263447284698,0.324162840843201
3,4,41043,-1.0087890625,-0.0732421875,-0.00732421875,0.0,0.0,0.0,-0.124488353729248,-0.0288257598876953,-0.188773557543755
3,1,41052,-0.98828125,-0.09521484375,0.09521484375,0.0,0.0,0.0,0.0223088264465332,0.0633741170167923,0.163655877113342
3,2,41053,-0.2275390625,-0.29052734375,0.453125,0.0,0.0,0.0,172.948394775391,76.1267547607422,-8.1786994934082
3,3,41058,-0.998046875,0.052734375,-0.00439453125,0.0,0.0,0.0,0.249026894569397,0.102347254753113,0.0798879861831665
3,4,41064,-1.01025390625,-0.06689453125,-0.00634765625,0.0,0.0,0.0,-0.00235080718994141,0.0780444145202637,-0.0819033235311508
3,1,41074,-0.9912109375,-0.09765625,0.08642578125,0.0,0.0,0.0,0.0375760793685913,-0.0282289385795593,-0.0195502042770386
3,2,41075,-0.262451171875,-0.138427734375,0.49853515625,0.0,0.0,0.0,207.360595703125,93.3939361572266,14.7220649719238
3,3,41079,-0.99853515625,0.05419921875,0.0,0.0,0.0,0.0,-0.0410494804382324,-0.218263447284698,0.0340864658355713
